Division,District,Inst_Total,Inst_Girls,Tchr_Total,Tchr_Female,Tchr_%Female,Stud_Total,Stud_Girls,Stud_%Girls,TSR
Barishal,Barguna,38,7,878,223,25.4,30988,17228,55.6,35.29
Barishal,Barishal,104,15,3087,905,29.32,118941,63444,53.34,38.53
Barishal,Bhola,58,11,1729,335,19.38,51785,26752,51.66,29.95
Barishal,Jhalokati,38,10,763,229,30.01,20180,11057,54.79,26.45
Barishal,Patuakhali,68,12,1957,529,27.03,55718,27984,50.22,28.47
Barishal,Pirojpur,50,8,1229,314,25.55,34798,19328,55.54,28.31
Chattogram,Bandarban,14,1,183,39,21.31,14221,5500,38.68,77.71
Chattogram,Brahmanbaria,69,10,1413,350,24.77,64209,41160,64.1,45.44
Chattogram,Chandpur,69,5,1527,407,26.65,72744,41538,57.1,47.64
Chattogram,Chattogram,202,38,4473,1709,38.21,301567,158568,52.58,67.42
Chattogram,Cox's Bazar,34,5,717,180,25.1,54125,30422,56.21,75.49
Chattogram,Cumilla,167,18,4022,1204,29.94,158922,87321,54.95,39.51
Chattogram,Feni,42,8,768,226,29.43,48854,27313,55.91,63.61
Chattogram,Khagrachhari,20,1,326,93,28.53,19483,9576,49.15,59.76
Chattogram,Lakshmipur,43,5,904,214,23.67,40156,22079,54.98,44.42
Chattogram,Noakhali,59,6,1302,311,23.89,83951,41755,49.74,64.48
Chattogram,Rangamati,22,1,352,98,27.84,24570,11964,48.69,69.8
Dhaka,Dhaka,412,62,13375,6093,45.56,531438,265515,49.96,39.73
Dhaka,Faridpur,47,9,1391,407,29.26,66747,34367,51.49,47.98
Dhaka,Gazipur,117,9,2576,876,34.01,118702,58593,49.36,46.08
Dhaka,Gopalganj,42,3,971,225,23.17,52027,25094,48.23,53.58
Dhaka,Kishoreganj,69,11,1410,439,31.13,84282,48666,57.74,59.77
Dhaka,Madaripur,30,5,823,220,26.73,42742,24991,58.47,51.93
Dhaka,Manikganj,33,4,873,241,27.61,51054,26699,52.3,58.48
Dhaka,Munshiganj,29,2,621,189,30.43,35707,20607,57.71,57.5
Dhaka,Narayanganj,56,8,1171,473,40.39,86334,43599,50.5,73.73
Dhaka,Narsingdi,80,10,1807,559,30.94,76332,39345,51.54,42.24
Dhaka,Rajbari,38,6,1075,284,26.42,32005,17510,54.71,29.77
Dhaka,Shariatpur,33,3,576,124,21.53,29403,18494,62.9,51.05
Dhaka,Tangail,106,18,3005,873,29.05,118833,63779,53.67,39.55
Khulna,Bagerhat,47,10,1380,378,27.39,38976,20444,52.45,28.24
Khulna,Chuadanga,25,5,807,200,24.78,32623,16140,49.47,40.43
Khulna,Jessore,116,19,3839,897,23.37,105126,50423,47.96,27.38
Khulna,Jhenaidah,74,8,2415,594,24.6,57538,27464,47.73,23.83
Khulna,Khulna,103,22,3318,909,27.4,115035,56267,48.91,34.67
Khulna,Kushtia,68,11,2316,614,26.51,75169,38597,51.35,32.46
Khulna,Magura,39,6,1042,249,23.9,31310,16004,51.11,30.05
Khulna,Meherpur,19,3,535,109,20.37,18585,9374,50.44,34.74
Khulna,Narail,24,3,612,155,25.33,23798,11139,46.81,38.89
Khulna,Satkhira,75,13,2618,452,17.27,65167,28980,44.47,24.89
Mymensingh,Jamalpur,83,17,2088,561,26.87,71943,37310,51.86,34.46
Mymensingh,Mymensingh,150,23,3599,1116,31.01,159106,83625,52.56,44.21
Mymensingh,Netrokona,50,10,1075,284,26.42,60686,32321,53.26,56.45
Mymensingh,Sherpur,32,6,832,232,27.88,37692,19611,52.03,45.3
Rajshahi,Bogura,122,27,4190,1084,25.87,131928,62302,47.22,31.49
Rajshahi,Chapainawabganj,60,11,2025,392,19.36,47958,22760,47.46,23.68
Rajshahi,Joypurhat,33,7,1135,257,22.64,32315,15828,48.98,28.47
Rajshahi,Naogaon,87,14,2658,499,18.77,69129,29675,42.93,26.01
Rajshahi,Natore,92,16,3325,791,23.79,58082,28533,49.13,17.47
Rajshahi,Pabna,98,17,3082,873,28.33,94068,48896,51.98,30.52
Rajshahi,Rajshahi,176,34,7045,1828,25.95,143218,67772,47.32,20.33
Rajshahi,Sirajganj,111,16,3615,830,22.96,107963,50391,46.67,29.87
Rangpur,Dinajpur,137,26,3784,959,25.34,104969,52895,50.39,27.74
Rangpur,Gaibandha,82,23,2516,531,21.1,68395,31977,46.75,27.18
Rangpur,Kurigram,88,18,2406,438,18.2,63042,29020,46.03,26.2
Rangpur,Lalmonirhat,59,12,1742,372,21.35,42300,22126,52.31,24.28
Rangpur,Nilphamari,97,18,2341,496,21.19,62720,32395,51.65,26.79
Rangpur,Panchagarh,40,10,1194,256,21.44,31227,16905,54.14,26.15
Rangpur,Rangpur,133,25,3876,1014,26.16,118105,61680,52.22,30.47
Rangpur,Thakurgaon,60,8,1495,317,21.2,47412,24004,50.63,31.71
Sylhet,Habiganj,50,7,765,196,25.62,54550,31010,56.85,71.31
Sylhet,Maulvibazar,49,7,877,232,26.45,58849,32056,54.47,67.1
Sylhet,Sunamganj,61,5,765,120,15.69,51203,29668,57.94,66.93
Sylhet,Sylhet,147,24,2173,648,29.82,125261,70158,56.01,57.64
BANGLADESH,Total,4876,792,132789,37252,28.05,4926266,2537998,51.52,37.1
