CSV district name,GeoJSON district name
Bagerhat,Bagerhat
Bandarban,Bandarban
Barguna,Barguna
Barishal,Barishal
Bhola,Bhola
Bogura,Bogura
Brahmanbaria,Brahmanbaria
Chandpur,Chandpur
Chapainawabganj,Chapainababganj
Chattogram,Chattogram
Chuadanga,Chuadanga
Cox's Bazar,Cox's Bazar
Cumilla,Cumilla
Dhaka,Dhaka
Dinajpur,Dinajpur
Faridpur,Faridpur
Feni,Feni
Gaibandha,Gaibandha
Gazipur,Gazipur
Gopalganj,Gopalganj
Habiganj,Habiganj
Jamalpur,Jamalpur
Jessore,Jashore
Jhalokati,Jhalokati
Jhenaidah,Jhenaidah
Joypurhat,Joypurhat
Khagrachhari,Khagrachhari
Khulna,Khulna
Kishoreganj,Kishoreganj
Kurigram,Kurigram
Kushtia,Kushtia
Lakshmipur,Lakshmipur
Lalmonirhat,Lalmonirhat
Madaripur,Madaripur
Magura,Magura
Manikganj,Manikganj
Maulvibazar,Moulvibazar
Meherpur,Meherpur
Munshiganj,Munshiganj
Mymensingh,Mymensingh
Naogaon,Naogaon
Narail,Narail
Narayanganj,Narayanganj
Narsingdi,Narsingdi
Natore,Natore
Netrokona,Netrakona
Nilphamari,Nilphamari
Noakhali,Noakhali
Pabna,Pabna
Panchagarh,Panchagarh
Patuakhali,Patuakhali
Pirojpur,Pirojpur
Rajbari,Rajbari
Rajshahi,Rajshahi
Rangamati,Rangamati
Rangpur,Rangpur
Satkhira,Satkhira
Shariatpur,Shariatpur
Sherpur,Sherpur
Sirajganj,Sirajganj
Sunamganj,Sunamganj
Sylhet,Sylhet
Tangail,Tangail
Thakurgaon,Thakurgaon
