Sector,Type,Rank,Division,District,TSR
School,Lowest,1,Khulna,Jessore,20.72
School,Lowest,2,Barishal,Jhalokati,21.08
School,Lowest,3,Khulna,Bagerhat,21.28
School,Lowest,4,Barishal,Pirojpur,22.09
School,Lowest,5,Rangpur,Panchagarh,22.14
School,Highest,1,Sylhet,Sunamganj,49.91
School,Highest,2,Chattogram,Brahmanbaria,48.13
School,Highest,3,Dhaka,Munshiganj,46.9
School,Highest,4,Sylhet,Habiganj,46.67
School,Highest,5,Dhaka,Shariatpur,44.91
College,Lowest,1,Rajshahi,Natore,17.47
College,Lowest,2,Rajshahi,Rajshahi,20.33
College,Lowest,3,Rajshahi,Chapainawabganj,23.68
College,Lowest,4,Khulna,Jhenaidah,23.83
College,Lowest,5,Rangpur,Lalmonirhat,24.28
College,Highest,1,Chattogram,Bandarban,77.71
College,Highest,2,Chattogram,Cox's Bazar,75.49
College,Highest,3,Dhaka,Narayanganj,73.73
College,Highest,4,Sylhet,Habiganj,71.31
College,Highest,5,Chattogram,Rangamati,69.8
