Division,District,Inst_Total,Inst_Girls,Tchr_Total,Tchr_Female,Tchr_%Female,Stud_Total,Stud_Girls,Stud_%Girls,TSR
Barishal,Barguna,191,24,2011,533,26.5,56127,31321,55.8,27.91
Barishal,Barishal,474,82,5555,1897,34.15,162710,90961,55.9,29.29
Barishal,Bhola,291,41,2986,602,20.16,110675,63383,57.27,37.06
Barishal,Jhalokati,197,60,2166,650,30.01,45670,26774,58.62,21.08
Barishal,Patuakhali,313,40,3403,891,26.18,94072,50374,53.55,27.64
Barishal,Pirojpur,279,60,3180,920,28.93,70249,40689,57.92,22.09
Chattogram,Bandarban,66,6,700,148,21.14,22683,12994,57.29,32.4
Chattogram,Brahmanbaria,298,31,3825,1200,31.37,184080,108772,59.09,48.13
Chattogram,Chandpur,309,41,3861,1038,26.88,155645,91998,59.11,40.31
Chattogram,Chattogram,854,126,13347,5361,40.17,560399,312060,55.69,41.99
Chattogram,Cox's Bazar,240,26,3065,823,26.85,136813,78984,57.73,44.64
Chattogram,Cumilla,661,83,8985,2817,31.35,360446,207388,57.54,40.12
Chattogram,Feni,210,23,2541,738,29.04,96898,55654,57.44,38.13
Chattogram,Khagrachhari,124,8,1352,376,27.81,42479,23444,55.19,31.42
Chattogram,Lakshmipur,202,24,2289,570,24.9,98563,57953,58.8,43.06
Chattogram,Noakhali,340,41,4200,1121,26.69,184905,109281,59.1,44.02
Chattogram,Rangamati,152,8,1480,396,26.76,42294,22482,53.16,28.58
Dhaka,Dhaka,863,88,25468,13467,52.88,618573,325143,52.56,24.29
Dhaka,Faridpur,265,20,3655,1049,28.7,116777,64833,55.52,31.95
Dhaka,Gazipur,546,36,8351,3401,40.73,227469,118971,52.3,27.24
Dhaka,Gopalganj,211,18,2730,707,25.9,80113,41482,51.78,29.35
Dhaka,Kishoreganj,303,40,3826,1272,33.25,167507,93833,56.02,43.78
Dhaka,Madaripur,184,26,2253,611,27.12,76357,41999,55.0,33.89
Dhaka,Manikganj,181,13,2400,630,26.25,92608,48706,52.59,38.59
Dhaka,Munshiganj,139,12,1985,518,26.1,93090,49435,53.1,46.9
Dhaka,Narayanganj,221,19,4321,1711,39.6,156112,84195,53.93,36.13
Dhaka,Narsingdi,288,40,4476,1682,37.58,140136,78195,55.8,31.31
Dhaka,Rajbari,159,23,2049,564,27.53,69957,38724,55.35,34.14
Dhaka,Shariatpur,136,15,1618,403,24.91,72669,42250,58.14,44.91
Dhaka,Tangail,555,59,7163,1989,27.77,237210,122335,51.57,33.12
Khulna,Bagerhat,338,73,3999,1130,28.26,85107,48313,56.77,21.28
Khulna,Chuadanga,150,26,2030,563,27.73,69851,38044,54.46,34.41
Khulna,Jessore,553,96,7900,2336,29.57,163672,88570,54.11,20.72
Khulna,Jhenaidah,309,46,4140,1145,27.66,115079,62534,54.34,27.8
Khulna,Khulna,438,85,6144,1966,32.0,136755,72581,53.07,22.26
Khulna,Kushtia,321,71,4516,1446,32.02,143027,77953,54.5,31.67
Khulna,Magura,180,38,2367,678,28.64,57956,32688,56.4,24.49
Khulna,Meherpur,132,28,1910,560,29.32,49267,27667,56.16,25.79
Khulna,Narail,134,24,1840,582,31.63,47628,25644,53.84,25.88
Khulna,Satkhira,331,71,4576,1035,22.62,106004,57890,54.61,23.17
Mymensingh,Jamalpur,398,49,5226,1500,28.7,170882,87376,51.13,32.7
Mymensingh,Mymensingh,683,86,8665,2942,33.95,281449,146028,51.88,32.48
Mymensingh,Netrokona,292,32,3436,941,27.39,114838,56394,49.11,33.42
Mymensingh,Sherpur,192,24,2448,680,27.78,81065,42401,52.3,33.11
Rajshahi,Bogura,503,89,6967,2164,31.06,202864,105385,51.95,29.12
Rajshahi,Chapainawabganj,253,70,3223,899,27.89,101602,56870,55.97,31.52
Rajshahi,Joypurhat,165,31,2122,591,27.85,52962,28087,53.03,24.96
Rajshahi,Naogaon,464,72,5857,1406,24.01,143169,74298,51.9,24.44
Rajshahi,Natore,322,48,4500,1233,27.4,109606,58104,53.01,24.36
Rajshahi,Pabna,353,64,4595,1436,31.25,176257,98273,55.76,38.36
Rajshahi,Rajshahi,586,119,7901,2450,31.01,180303,95347,52.88,22.82
Rajshahi,Sirajganj,403,71,4915,1256,25.55,202866,106676,52.58,41.27
Rangpur,Dinajpur,719,118,9464,2454,25.93,219102,116206,53.04,23.15
Rangpur,Gaibandha,434,135,6240,1723,27.61,168332,92310,54.84,26.98
Rangpur,Kurigram,397,96,5459,1212,22.2,122065,64300,52.68,22.36
Rangpur,Lalmonirhat,237,40,3445,942,27.34,88897,50185,56.45,25.8
Rangpur,Nilphamari,335,79,4634,1235,26.65,139171,76310,54.83,30.03
Rangpur,Panchagarh,302,88,3915,991,25.31,86663,49524,57.15,22.14
Rangpur,Rangpur,528,101,7452,2140,28.72,185253,100552,54.28,24.86
Rangpur,Thakurgaon,399,95,5203,1289,24.77,116247,62457,53.73,22.34
Sylhet,Habiganj,203,20,2371,638,26.91,110661,65316,59.02,46.67
Sylhet,Maulvibazar,231,25,2758,788,28.57,122171,71030,58.14,44.3
Sylhet,Sunamganj,278,22,2683,579,21.58,133910,74689,55.78,49.91
Sylhet,Sylhet,417,39,5147,1477,28.7,205455,115458,56.2,39.92
BANGLADESH,Total,21232,3304,293289,92492,31.54,9063422,4960073,54.73,30.9
